PLAYER_ID,PLAYER_NAME,MIN,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,D_FGM,D_FGA,D_FG_PCT,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,LOOSE_BALLS_RECOVERED,BOX_OUTS,RAPM
1629649,Ignas Brazdeikis,19.1,0.8,1.1,0.714,0.8,2.6,3.5,1.3,0.9,0.3,0.2,0.7,1.7,7.0,-2.1,0.663,1.85,4.23,0.436,0.337,0.85,2.15,0.393,3.4,8.0,0.425,4.0,0.77,0.0,0.08,0.62,0.77,0.13
202697,Iman Shumpert,5.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,-0.5,0.25,0.5,0.5,1.0,0.75,0.0,1.5,0.0,0.5,2.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,-1.31
1630193,Immanuel Quickley,19.4,2.4,2.7,0.891,0.4,1.8,2.1,2.0,0.9,0.5,0.2,0.4,1.8,11.4,2.8,0.48,1.73,4.33,0.401,0.52,1.83,4.69,0.39,2.7,5.81,0.465,3.5,0.97,0.02,0.09,0.44,0.33,2.56
1629067,Isaac Bonga,10.8,0.1,0.2,0.625,0.5,1.2,1.7,0.6,0.6,0.3,0.2,0.0,1.6,2.0,-0.9,0.42,0.43,0.85,0.5,0.58,0.33,1.18,0.277,2.35,5.16,0.455,2.7,0.68,0.05,0.2,0.35,0.38,1.42
1630171,Isaac Okoro,32.4,1.7,2.3,0.726,1.0,2.1,3.1,1.9,1.3,0.9,0.4,0.8,2.8,9.6,-6.1,0.616,2.55,5.06,0.504,0.384,0.91,3.15,0.289,6.29,12.32,0.51,6.75,1.64,0.09,0.15,0.82,0.87,-0.79
1628392,Isaiah Hartenstein,12.1,1.0,1.5,0.648,1.4,2.5,3.9,1.2,1.0,0.4,0.8,0.3,2.3,5.1,0.0,0.965,2.0,3.59,0.558,0.035,0.04,0.13,0.333,2.77,6.61,0.419,4.87,0.74,0.04,2.15,0.39,1.72,1.2
1630198,Isaiah Joe,9.3,0.4,0.6,0.75,0.1,0.7,0.9,0.5,0.3,0.3,0.1,0.0,0.8,3.7,0.0,0.203,0.22,0.66,0.333,0.797,0.95,2.59,0.368,1.87,4.19,0.446,1.68,0.46,0.07,0.07,0.2,0.1,-0.18
1629676,Isaiah Roby,23.4,1.4,1.9,0.744,1.5,4.1,5.6,1.8,1.9,0.9,0.6,0.6,2.7,8.7,-7.2,0.745,2.84,5.18,0.547,0.255,0.52,1.77,0.296,5.0,9.41,0.531,7.02,1.93,0.05,2.2,0.85,1.43,-2.21
1630191,Isaiah Stewart,21.4,0.9,1.4,0.696,2.3,4.3,6.7,0.9,1.0,0.6,1.3,0.4,2.7,7.9,-0.9,0.844,2.97,5.03,0.591,0.156,0.31,0.93,0.333,5.97,12.75,0.468,10.66,0.88,0.01,2.88,0.31,2.66,1.32
202738,Isaiah Thomas,16.1,0.7,0.7,1.0,0.3,1.0,1.3,1.7,2.0,0.3,0.0,0.3,1.0,7.7,2.7,0.556,2.0,5.0,0.4,0.444,1.0,4.0,0.25,1.5,5.0,0.3,0.67,0.33,0.0,0.0,0.33,0.0,-2.08
202397,Ish Smith,21.0,0.4,0.8,0.576,0.5,2.9,3.4,3.9,0.9,0.7,0.3,0.2,1.4,6.7,1.2,0.835,2.52,5.64,0.448,0.165,0.41,1.11,0.367,3.16,7.19,0.44,2.66,1.16,0.25,0.11,0.8,0.2,0.88
1627826,Ivica Zubac,22.3,1.9,2.4,0.789,2.6,4.6,7.2,1.3,1.1,0.3,0.9,0.7,2.6,9.0,2.5,0.99,3.56,5.42,0.656,0.01,0.01,0.06,0.25,5.27,12.07,0.437,9.36,0.47,0.0,3.88,0.5,2.89,1.42
200755,JJ Redick,16.4,1.1,1.2,0.942,0.1,1.4,1.5,1.2,0.8,0.3,0.1,0.2,1.1,7.4,0.0,0.333,0.91,2.02,0.449,0.667,1.5,4.05,0.371,1.77,3.81,0.463,1.41,0.32,0.18,0.39,0.25,0.34,0.91
1629630,Ja Morant,32.6,4.3,5.9,0.728,0.9,3.1,4.0,7.4,3.2,0.9,0.2,1.1,1.4,19.1,1.7,0.748,5.67,11.37,0.499,0.252,1.16,3.83,0.303,4.79,9.68,0.495,3.67,1.27,0.03,0.35,0.68,0.52,1.86
203960,JaKarr Sampson,10.9,0.7,1.0,0.655,0.9,1.7,2.7,0.1,0.5,0.1,0.5,0.2,1.8,4.6,0.1,0.867,1.83,3.38,0.541,0.133,0.1,0.52,0.2,2.54,6.11,0.415,4.62,0.34,0.03,0.97,0.1,0.69,0.47
203210,JaMychal Green,19.3,0.8,1.0,0.807,1.5,3.3,4.8,0.9,0.9,0.4,0.4,0.5,2.5,8.1,1.7,0.47,1.62,3.02,0.537,0.53,1.36,3.4,0.401,2.77,6.0,0.462,3.76,0.78,0.02,0.88,0.38,1.45,-0.58
201580,JaVale McGee,14.7,1.0,1.5,0.657,1.7,3.5,5.2,0.8,1.3,0.4,1.2,0.3,2.6,7.3,-1.9,0.917,2.96,5.5,0.538,0.083,0.11,0.5,0.217,3.11,7.09,0.439,4.98,1.28,0.02,1.93,0.48,1.26,-0.95
203953,Jabari Parker,12.7,0.8,1.0,0.769,0.8,2.5,3.2,0.8,0.8,0.1,0.4,0.0,1.0,5.5,-1.1,0.8,2.15,3.38,0.636,0.2,0.15,0.85,0.182,2.25,5.0,0.45,3.0,0.46,0.15,0.92,0.0,0.62,0.32
1630183,Jaden McDaniels,24.0,0.4,0.7,0.6,0.8,2.9,3.7,1.1,0.7,0.6,1.0,0.2,2.7,6.8,-1.6,0.46,1.46,2.68,0.544,0.54,1.14,3.14,0.364,4.75,10.2,0.466,7.49,1.22,0.0,0.37,0.48,0.57,-0.26
203109,Jae Crowder,27.5,1.0,1.3,0.76,0.5,4.2,4.7,2.1,0.9,0.8,0.5,0.2,2.1,10.1,3.6,0.229,0.85,1.87,0.455,0.771,2.45,6.28,0.39,3.85,9.4,0.41,5.72,1.48,0.13,0.78,0.57,0.58,0.55
1630256,Jae'Sean Tate,29.2,1.5,2.1,0.694,1.9,3.5,5.3,2.5,1.4,1.2,0.5,0.7,3.2,11.3,-2.7,0.69,3.63,6.11,0.593,0.31,0.84,2.74,0.307,4.93,10.55,0.467,6.6,2.16,0.2,1.39,1.06,2.27,-0.18
1626143,Jahlil Okafor,12.9,0.6,0.9,0.708,0.9,1.6,2.4,0.5,0.8,0.2,0.2,0.5,1.4,5.4,-3.1,0.911,2.26,3.41,0.663,0.089,0.07,0.33,0.222,4.04,7.46,0.541,5.7,0.37,0.07,1.48,0.41,1.48,-2.05
1630186,Jahmi'us Ramsey,7.3,0.4,0.4,1.0,0.2,0.6,0.8,0.5,0.2,0.3,0.1,0.1,0.6,3.1,0.2,0.5,0.77,1.46,0.526,0.5,0.38,1.46,0.263,1.7,3.5,0.486,1.38,0.38,0.0,0.0,0.08,0.23,0.34
1627774,Jake Layman,13.9,0.6,0.8,0.703,0.3,1.2,1.5,0.6,0.6,0.6,0.4,0.4,1.0,5.1,-1.8,0.576,1.51,2.36,0.642,0.424,0.51,1.73,0.295,2.32,4.52,0.513,2.76,0.91,0.04,0.16,0.4,0.62,-0.73
1627751,Jakob Poeltl,26.7,0.9,1.8,0.508,3.2,4.8,7.9,1.9,1.2,0.7,1.8,0.4,2.5,8.6,1.6,1.0,3.84,6.25,0.615,0.0,0.0,0.0,,7.14,16.17,0.442,14.45,1.29,0.04,5.55,0.61,2.38,2.15
1628973,Jalen Brunson,25.0,1.8,2.2,0.795,0.4,3.0,3.4,3.5,1.2,0.5,0.0,0.3,1.6,12.6,2.4,0.681,3.63,6.28,0.578,0.319,1.19,2.94,0.405,3.45,7.4,0.466,3.41,1.04,0.16,0.44,0.38,0.21,1.29
1630223,Jalen Harris,13.2,0.5,0.7,0.778,0.2,1.2,1.4,1.3,1.1,0.6,0.0,0.5,1.2,7.4,-0.1,0.5,1.46,2.77,0.528,0.5,1.31,2.77,0.472,2.17,4.67,0.464,2.23,0.77,0.0,0.0,0.31,0.46,0.7
1629665,Jalen Lecque,3.0,0.8,0.8,1.0,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.3,0.0,1.3,-1.0,0.889,0.25,2.0,0.125,0.111,0.0,0.25,0.0,0.75,1.75,0.429,0.75,0.25,0.0,0.0,0.25,0.0,-0.19
1629667,Jalen McDaniels,19.2,1.0,1.4,0.703,1.0,2.6,3.6,1.1,1.0,0.6,0.4,0.5,2.0,7.4,-3.8,0.629,2.09,3.79,0.551,0.371,0.74,2.23,0.333,4.35,8.74,0.497,5.62,1.3,0.06,0.17,0.49,0.57,-1.49
1630188,Jalen Smith,5.8,0.2,0.3,0.714,0.3,1.1,1.4,0.1,0.3,0.0,0.1,0.0,0.6,2.0,-0.6,0.66,0.67,1.22,0.545,0.34,0.15,0.63,0.235,1.89,3.79,0.5,1.78,0.11,0.0,0.33,0.07,0.52,-0.24
1627750,Jamal Murray,35.5,2.8,3.2,0.869,0.8,3.3,4.0,4.8,2.3,1.3,0.3,0.5,2.0,21.2,6.3,0.599,5.13,9.79,0.523,0.401,2.69,6.56,0.41,4.65,10.83,0.429,5.65,2.27,0.08,1.27,1.04,0.27,3.43
203516,James Ennis III,24.1,1.7,2.1,0.805,1.0,3.0,4.0,1.5,0.9,0.8,0.2,0.5,2.0,8.4,-1.8,0.572,1.71,3.39,0.504,0.428,1.1,2.54,0.433,3.56,7.88,0.452,4.17,1.76,0.1,0.24,0.54,0.34,-0.58
